word,token_id,snt_id,onset,offset,pos,log_freq
同,7,47,1.83484,1.33869,ADP,5.64191
佢,8,47,2.02732,0.23169,PRON,7.72312
提起,9,47,2.13307,0.42523,VERB,0.69315
大,10,47,3.04492,0.74715,ADJ,5.16479
蟒蛇,11,47,3.17879,0.83967,NOUN,0
呀,12,47,3.29409,0.9399,PART,6.01127
原始,13,47,3.51351,1.03183,NOUN,0.69315
森林,14,47,3.81023,1.15079,NOUN,0
呀,15,47,3.92348,124.489,PART,6.01127
星星,16,47,0.16252,1.35298,ADV,0
呀,17,47,0.26344,0.1495,PART,6.01127
嗰,18,47,0.36437,0.33221,PRON,6.05444
啲,19,47,0.51547,1.51573,NOUN,7.20415
嘢,20,47,0.63543,1.57489,NOUN,6.37673
我,1,48,0.74731,1.83484,PRON,7.92154
唯有,2,48,0.9426,2.02732,ADV,1.38629
遷就,3,48,1.09774,2.13307,VERB,0
佢哋,4,48,1.2529,3.04492,PRON,5.63479
嘅,5,48,1.62041,3.17879,PART,7.47647
水平,6,48,1.767,3.29409,NOUN,1.38629
同,1,49,2.47074,3.51351,ADP,5.64191
佢哋,2,49,3.17447,3.81023,PRON,5.63479
講,3,49,3.60859,3.92348,VERB,6.44254
下,4,49,4.21962,0.16252,PART,5.97635
打,5,49,4.83064,0.26344,VERB,4.35671
橋牌,6,49,5.26287,0.36437,NOUN,0
呀,7,49,5.26287,0.51547,PART,6.01127
高爾夫球,8,49,5.6951,0.63543,NOUN,0
呀,9,49,5.78705,130.477,PART,6.01127
政治,10,49,3.02481,0.9426,VERB,0
呀,11,49,0.26256,1.09774,PART,6.01127
領呔,12,49,0.4713,1.2529,NOUN,0
呀,13,49,1.05558,1.62041,PART,6.01127
之類,14,49,1.21909,1.767,PRON,1.94591
於是,1,50,1.38261,132.425,CCONJ,2.07944
啲,2,50,0.16461,3.17447,NOUN,7.20415
大人,3,50,0.32411,3.60859,NOUN,1.38629
就會,4,50,0.48362,4.21962,ADV,0
覺得,5,50,0.59967,4.83064,VERB,6.45834
搵,6,50,0.7925,5.26287,VERB,0
到,7,50,0.98087,5.26287,ADP,6.7546
個,8,50,1.69714,5.6951,NOUN,7.29912
啱,9,50,2.41341,5.78705,ADJ,4.47734
傾,10,50,3.19877,3.02481,VERB,3.58352
嘅,11,50,3.98413,0.26256,PART,7.47647
人,12,50,4.61651,0.4713,NOUN,6.60665
而,13,50,5.24889,1.05558,CCONJ,3.82864
好,14,50,5.60555,1.21909,ADV,7.52672
開心,15,50,5.96221,138.734,ADJ,4.29046
然後,1,51,0.17144,0.16461,CCONJ,3.04452
我,2,51,0.34639,0.32411,PRON,7.92154
好,3,51,0.52134,0.48362,ADV,7.52672
孤獨,4,51,0.7581,0.59967,ADJ,0.69315
咁,5,51,1.01443,0.7925,ADV,6.1334
